Year	2020
Jan	5892.0
Feb	5787.0
Mar	7140.0
Apr	23078.0
May	20985.0
Jun	17750.0
Jul	16338.0
Aug	13550.0
Sep	12580.0
Oct	11061.0
Nov	
Dec	
